"rank","headword","pos","english","sample","range","rawFreq","oral","fiction","nonFiction"
2212,"normalmente","adv","normally","sí, normalmente es un tipo bastante práctico",84,"908","high","low","NA"
1705,"actor","nm","actor","había logrado un notable éxito como dramaturgo y actor teatral",88,"1199","NA","NA","NA"
1564,"inútil","adj","useless","yo trataba de calmarlas pero era inútil",92,"1139","NA","NA","NA"
1716,"hierro","nm","iron","construyeron un puente moderno de hierro",90,"1276","NA","NA","NA"
320,"voz","nf","voice","un hombre de voz vibrante y rica empezó a cantar",100,"6853","NA","NA","NA"
1108,"facilidad","nf","ease, facility","es un hombre inteligente con una gran facilidad de expresión",98,"838","NA","NA","NA"
644,"actitud","nf","attitude","hay que tener siempre una actitud de metódico escepticismo",99,"2599","NA","NA","NA"
506,"política","nf","politics, policy","se lanzan a un frenético debate sobre política",100,"4678","NA","NA","NA"
2068,"educar","v","to educate","se tiene que educar, se tiene que preparar",88,"517","high","NA","NA"
2274,"castigar","v","to punish","Dios nos castiga por tantos pecados cometidos",87,"538","NA","NA","NA"
386,"pie","nm","foot, base","está enfermo y tiene un pie en el cementerio",100,"5048","NA","NA","NA"
277,"papel","nm","paper, role, part","el poco papel que tenemos lo dedicamos a libros",100,"4628","NA","NA","NA"
575,"pena","nf","trouble; valer la pena: be of worth","ésa es una cosa que sí vale la pena recordarla",98,"2309","high","NA","NA"
199,"nombre","nm","name, noun","Susana no es mi nombre verdadero",100,"7132","NA","NA","NA"
965,"recuperar","v","to recuperate, recover","pareció recuperar parte de sus menguadas fuerzas",98,"1480","NA","NA","NA"
1134,"arrastrar","v","to drag, pull","el abuelo arrastró su sillón hasta la ventana",98,"1489","NA","NA","NA"
2124,"fresco","adj","cool, healthy, fresh","una brisa fresca, que luego se convirtió en vendaval",88,"805","NA","NA","NA"
885,"delante","adv","(in) front (of), ahead","el caballo marchaba delante y a la derecha",97,"1681","NA","NA","NA"
2360,"fantástico","adj","fantastic, unreal","el mundo imaginario y fantástico soñado por Mozart",85,"479","NA","NA","NA"
1900,"huevo","nm","egg","entierran los huevos en nidos que construyen en la tierra",86,"933","NA","NA","NA"
258,"santo","nm","saint (m)","todos iban detrás del Santo Patrono con rezos y cánticos",100,"6218","NA","NA","NA"
1314,"triste","adj","sad, unhappy","era sujeto silencioso y triste que vivía aislado",92,"1538","NA","NA","NA"
2519,"relativamente","adv","relatively","esta distinción es relativamente reciente; no es anterior al siglo XIX",85,"696","NA","low","NA"
1860,"primo","nm","cousin","porque eran las mamás, los papás, los tíos, los primos",89,"865","NA","NA","NA"
1986,"olor","nm","smell, odor, fragrance","sentí que el olor de café venía de la cocina",84,"1798","NA","NA","NA"
744,"familiar","adj","familiar, of the family","por tradición, el negocio familiar pasa a los hijos",100,"1489","NA","NA","NA"
659,"comunicación","nf","communication","la falta de comunicación es nuestra principal limitación",100,"2303","high","NA","NA"
329,"alcanzar","v","to reach, catch up with","la economía tiene posibilidades de alcanzar la prosperidad",100,"4803","NA","NA","NA"
1869,"denominar","v","to call, name","lo que algo se denomina ahora «movilidad social»",87,"2167","NA","low","NA"
1748,"sujeto","nm","subject, individual","el hombre es el sujeto de los beneficios de la economía",92,"985","NA","NA","NA"
1729,"tranquilidad","nf","tranquility, peace","hay tranquilidad; hay sensación de que las cosas funcionan bien",93,"566","high","NA","NA"
1821,"victoria","nf","victory, triumph","una importante victoria sobre una poderosa fuerza militar",90,"1151","NA","NA","NA"
69,"ella","pron","she, [ellas] them (f)","ella es muy estudiosa",100,"24770","NA","NA","NA"
361,"experiencia","nf","experience","tengo experiencia de la vida y del amor",100,"3568","NA","NA","NA"
769,"público","nm","public, audience","lo que me motiva es el contacto con el público",100,"1900","NA","NA","NA"
454,"cerrar","v","to close","lo mejor era cerrar los ojos y dormir",100,"3099","NA","NA","NA"
2043,"definido","adj","definite","tenía la sensación de andar hacia algo definido y concreto",93,"586","NA","NA","NA"
793,"santa","nf","saint (f)","el 30 de agosto es también la fiesta de Santa Rosa de Lima",98,"1845","NA","NA","NA"
1419,"entrevista","nf","interview, meeting","en la segunda entrevista no se puede decir «nunca»",94,"938","NA","NA","NA"
2177,"odio","nm","hatred","no me mueve el odio sino el amor",89,"635","NA","NA","NA"
707,"estilo","nm","style","la casa era de estilo antiguo, con una gran galería al frente",98,"2907","NA","NA","NA"
405,"acción","nf","action, act, deed","esta acción legal pretendía acelerar la liberalización económica",100,"4397","NA","NA","NA"
1394,"sano","adj","healthy, wholesome","era un animal sano, fuerte y hermoso",96,"739","NA","NA","NA"
116,"casa","nf","house","hoy la gente vive en la calle; no vive en su casa",100,"16408","NA","NA","NA"
2125,"mando","nm","command, authority","vamos a darte el mando de todos esos para defender la paz",89,"790","NA","NA","NA"
592,"imposible","adj","impossible","estaba muy oscuro y era imposible verla",100,"2138","NA","NA","NA"
2196,"acomodar","v","to be/make comfortable","ella se acomodó entre los almohadones y leyó",89,"588","NA","NA","NA"
1898,"composición","nf","composition, make-up, essay","para conocer la composición de las estructuras de DNA",92,"994","NA","NA","NA"
972,"tono","nm","tone","habla de forma pausada y en tono bajo",97,"1804","NA","NA","NA"
1387,"temer","v","to fear","empecé a temer que una bomba atómica iba a caer",94,"1388","NA","NA","NA"
1623,"vacaciones","nf","vacation","iba a pasar vacaciones en Viña del Mar",90,"660","high","NA","NA"
1105,"casar","v","to marry","se casó a los quince años con el dueño de una peluquería",90,"2023","high","NA","NA"
605,"memoria","nf","memory","habla pausadamente, buscando en la memoria la palabra exacta",99,"2426","NA","NA","NA"
2000,"índice","nm","index, forefinger","un país pequeño, pobre, con un índice de desarrollo humano bajísimo",91,"746","NA","NA","NA"
1657,"transporte","nm","transportation, transport","Iberia ha detentado el monopolio del transporte aéreo español",95,"953","NA","NA","NA"
878,"verde","adj","green","los vegetales de hoja verde, como las espinacas y la col",97,"2092","NA","NA","NA"
1782,"fortuna","nf","fortune, fate","a los seis meses, su fortuna pasaba de quinientos mil pesos",92,"795","NA","NA","NA"
1563,"órgano","nm","organ","el corazón es un órgano que sirve para enviar sangre a los pulmones",94,"1298","NA","NA","NA"
369,"descubrir","v","to discover","otro policía descubrió un paquete en el suelo",100,"4206","NA","NA","NA"
935,"masa","nf","mass, dough, bulk, crowd","para determinar la masa atómica de diversos elementos",99,"1984","NA","NA","NA"
2322,"gobernar","v","to govern","gobernar no es solamente administrar un Estado",87,"820","NA","NA","NA"
558,"entregar","v","to deliver","entregó el paquete a las criaturas",99,"2323","NA","NA","NA"
763,"amplio","adj","wide, ample, broad","se encontraba en el amplio y fresco corredor de una vivienda",98,"2220","NA","NA","NA"
2386,"lágrima","nf","tear, teardrop","tenía lágrimas en los ojos",80,"1107","NA","NA","NA"
557,"matar","v","to kill","el gato sirve para matar a los ratones",98,"3175","NA","NA","NA"
2325,"primavera","nf","spring, spring-like","en la primavera el clima es templado",84,"634","NA","NA","NA"
346,"diez","num","ten","a mí me bastaban los diez mandamientos",100,"3740","high","NA","NA"
1527,"reserva","nf","reservation, reserve","abandonando toda reserva, le puso delante la realidad desnuda",95,"933","NA","NA","NA"
1151,"describir","v","to describe","no te voy a describir la escena",98,"1461","NA","NA","NA"
1859,"diente","nm","tooth, cog","la Biblia dice «ojo por ojo y diente por diente»",85,"1465","NA","NA","NA"
2244,"parado","adj","stopped, standing","vio a varios pájaros parados en una rama",85,"603","NA","NA","NA"
716,"merecer","v","to deserve, be worthy (of)","un interesante artista viajero que merece la pena conocer",99,"1474","NA","NA","NA"
2412,"arco","nm","arch, arc, bow","me condujo bajo el arco de la puerta principal",84,"682","NA","NA","NA"
1593,"soñar","v","to dream","yo soñaba con ser piloto",89,"1235","NA","NA","NA"
390,"servicio","nm","service, helpfulness","es un servicio público que beneficia al individuo",100,"3835","NA","NA","NA"
322,"necesario","adj","necessary","ahora es necesario dirigir más oraciones a Dios",100,"4662","NA","NA","NA"
1459,"canción","nf","song","sonarán el himno nacional y la canción catalana «Els Segadors»",90,"1162","NA","NA","NA"
1701,"fruta","nf","fruit","además de frutas como piña, sandía, naranja, papaya y plátano",90,"783","NA","NA","NA"
1938,"explotar","v","to explode, exploit","explotó una bomba en un mercado en Jerusalén",93,"514","NA","NA","NA"
1383,"facultad","nf","faculty, ability","es mucho más fácil enseñar en la Facultad de Educación",95,"936","NA","NA","NA"
1608,"sumar","v","to add up, amount to","los diputados sumaron 64 votos en favor",94,"822","NA","NA","NA"
2481,"cierre","nm","zipper, closing","hasta que el cierre de la mochila revienta y vuela el contenido",87,"378","NA","NA","NA"
80,"hombre","nm","man, mankind, husband","yo soy un hombre de pocas necesidades",100,"20292","NA","NA","NA"
349,"tu","adj","your (sg/+fam)","ésta es tu casa y ésta es tu cama",91,"10913","high","NA","low"
777,"mas","conj","but, however","es posible mas lo dudo",95,"2046","NA","NA","NA"
2455,"almacén","nm","warehouse, store","fue hasta el almacén a buscar alguna cosa que faltaba",83,"545","NA","NA","NA"
814,"aquello","pron","that over there (n)","aquello era un palacio",96,"2184","NA","NA","NA"
998,"montar","v","to ride, mount, assemble","vieron que yo montaba bien a caballo",97,"1282","NA","NA","NA"
1199,"cuándo","adv","when?","¿Cuándo vuelven? – preguntó",94,"1298","high","NA","NA"
856,"militar","adj","military","las autoridades civiles y militares harán respetar esta decisión",98,"2702","NA","NA","NA"
1205,"placer","nm","pleasure","Es siempre un gran placer caminar junto a ti",94,"1430","NA","NA","NA"
2156,"desesperado","adj","desperate, hopeless","estaba desesperado por el hambre y la humillación",86,"683","NA","NA","NA"
2045,"cita","nf","appointment, date, quotation","nos gustaría tener una cita con usted",88,"600","NA","NA","NA"
1982,"disminuir","v","to decrease, diminish","debemos combatir la pobreza y disminuir la desigualdad",90,"985","NA","NA","NA"
1845,"conmigo","pron","with me","dime que no estás enfadado conmigo",82,"1668","high","NA","low"
915,"justo","adv","just","está colocada en el medio - justo frente a la silla",98,"1296","NA","NA","NA"
1378,"virtud","nf","virtue, quality","es una gran virtud ser disciplinado",96,"1107","NA","NA","NA"
1708,"agregar","v","to add, gather","nadie era capaz de agregar nada a lo dicho",90,"1562","NA","NA","NA"
342,"pagar","v","to pay","estamos tratando de pagar esta deuda",100,"4130","NA","NA","NA"
563,"metro","nm","meter, subway","produce kilogramos de vegetales por metro cuadrado",99,"2305","NA","NA","NA"
68,"tiempo","nm","time (general), weather","he estado mucho tiempo con ella",100,"22432","NA","NA","NA"
1613,"versión","nf","version, account","presentó en Londres la versión inglesa de sus crónicas",94,"984","NA","NA","NA"
2029,"universitario","adj","university","fue profesor universitario de física teórica",85,"868","high","NA","NA"
416,"realmente","adv","really, actually, in fact","¿antes de nacer nosotros existía realmente el mundo?",99,"3824","high","NA","NA"
971,"probablemente","adv","probably","probablemente después de misa se viene a cocinar",99,"1261","NA","NA","NA"
1289,"ceder","v","to give way, yield","necesitaremos ceder mucho para llegar a un acuerdo",99,"860","NA","NA","NA"
2275,"rechazo","nm","rejection, refusal","me da pena el rechazo de mis padres",91,"480","NA","NA","NA"
2017,"legal","adj","legal","al pueblo una norma legal para empresarios y obreros",91,"987","NA","NA","NA"
1528,"regalar","v","to give (as a gift)","a mi tía nunca le gustó regalar dinero",90,"979","high","NA","low"
NA,"estrategia","nf","strategy","hay que desarrollar una estrategia de alianzas y de pactos",85,"951","NA","NA","NA"
2327,"simpatía","nf","sympathy, affinity","nos mirábamos con simpatía porque los dos nos entendíamos",86,"464","NA","NA","NA"
2480,"bloque","nm","block","la integración de sus miembros en un bloque económico regional",86,"565","NA","NA","NA"
690,"dispuesto","adj","willing, ready","estaba dispuesto a hacer cualquier sacrificio por la Patria",100,"1940","NA","NA","NA"
509,"reunir","v","to gather, meet, collect","le permitieron reunir una fortuna de proporciones grotescas",100,"2237","NA","NA","NA"
1851,"hilo","nm","thread, yarn, wire","la manipulación del hilo de seda fue un proceso secreto",92,"871","NA","NA","NA"
447,"resto","nm","rest, remainder, leftover","en el Perú y Japón sí, pero no en el resto del mundo",100,"3279","NA","NA","NA"
119,"tres","num","three","tres direcciones: diagonal, horizontal y vertical",100,"12786","NA","NA","NA"
1053,"culpa","nf","blame, fault","oígame, que yo no tengo la culpa si he perdido la documentación",95,"1598","NA","NA","NA"
2340,"plenamente","adv","fully","y en esto coincidía plenamente con su amigo",89,"388","NA","NA","NA"
1063,"referencia","nf","reference, allusion","en su cuaderno no hay ninguna referencia a su pecado",98,"1300","NA","NA","NA"
1237,"político","nm/f","politician","la reelección como el político más popular",97,"1248","NA","NA","NA"
1016,"riesgo","nm","risk","lo preocupante para mí es el riesgo de que nos descubran",98,"1765","NA","NA","NA"
1423,"confiar","v","to trust, confide","me contó que confía en Dios y lee la Biblia",96,"894","NA","NA","NA"
2297,"pariente","nc","relative","no tenía amigo ni pariente en quien confiar",85,"704","NA","NA","NA"
1767,"independencia","nf","independence","para festejar el cumpleaños de la Independencia de la Patria",91,"1093","NA","NA","NA"
1005,"poseer","v","to possess, own","el libro posee una calidad estética notable",96,"2134","NA","NA","NA"
462,"real","adj","royal, real, authentic","fuimos a la biblioteca del palacio real de Madrid",100,"3671","NA","NA","NA"
2361,"liberación","nf","liberation","tras la liberación de del territorio de la dominación alemana",91,"471","NA","NA","NA"
2548,"trampa","nf","trick, trap; hacer trampa: to cheat","sino a la vida natural, normal, es decir, a no hacer trampa",84,"531","NA","NA","NA"
1940,"despedir","v","to say goodbye (to), dismiss","se despidió de cada uno, y después fue a su casa",87,"1129","NA","NA","NA"
1164,"barco","nm","boat, ship","me sentí perdido en medio de aquel barco y de aquel océano",93,"1841","NA","NA","NA"
1530,"quejar","v","to complain","se quejaba de dolencias de viejo",92,"763","high","NA","NA"
527,"representar","v","to represent","representa uno de los aspectos más desconocidos",100,"3312","NA","NA","NA"
2180,"agudo","adj","sharp, acute","tiene un agudo espíritu crítico, no soporta el desorden",87,"705","NA","NA","NA"
2344,"doscientos","num","two hundred","dentro de doscientos años no quedarán vestigios",87,"376","high","NA","NA"
2369,"desarrollado","adj","developed, grown","las serpientes tienen el sistema nervioso bien desarrollado",86,"828","NA","low","NA"
1234,"correcto","adj","correct, suitable","¡cuidado!, que no es correcto besar a extraños",97,"906","NA","NA","NA"
1296,"pendiente","adj","aware of, pending","ha estado pendiente de lo que estaba ocurriendo en cada momento",97,"936","NA","NA","NA"
414,"natural","adj","natural","decidió que su conducta era natural y sincera",100,"3821","NA","NA","NA"
85,"ahora","adv","now","lo importante ahora es contarte lo que le pasó",100,"21030","high","NA","NA"
1158,"pintar","v","to paint","un trabajo para pintar varias casas",95,"1089","NA","NA","NA"
508,"lleno","adj","full, filled","joven y lleno de esperanzas por una vida mejor",100,"3055","NA","NA","NA"
423,"amor","nm","love","¡por el amor más grande del mundo; el amor de Dios!",97,"5049","NA","NA","NA"
2527,"trozo","nm","piece, chunk","le corta en pedacitos un trozo de carne y para que los coma",83,"748","NA","NA","NA"
410,"acercar","v","to come near","él me miró, se acercó, me besó",100,"3543","NA","NA","NA"
684,"especialmente","adv","especially","no era especialmente devota del amor en cautiverio",99,"2349","NA","NA","NA"
2511,"alzar","v","to lift, raise","alzó la cara y tuvo una mirada de pálido desprecio",80,"1186","low","NA","NA"
886,"religioso","adj","religious","un sentimiento religioso que expresa admiración",99,"2313","NA","NA","NA"
2281,"papá","nm","dad","en realidad su papá es trujillano y su madre de Lima",73,"2357","high","NA","low"
1884,"industria","nf","industry, factory","esa industria está muy desarrollada en el país",90,"1702","NA","NA","NA"
443,"subir","v","to go up","el sistema de subir y bajar verticalmente",100,"3661","NA","NA","NA"
1529,"competencia","nf","competition, contest","hay una competencia bastante fuerte entre ambos",95,"1659","NA","NA","NA"
1092,"europeo","adj","European","como proyección de lo europeo sobre América Latina",94,"2743","NA","NA","NA"
1347,"tendencia","nf","tendency, style","existe una fuerte tendencia a descargar esta responsabilidad",94,"1626","NA","NA","NA"
553,"surgir","v","to appear, spring (forth)","veía surgir la sombra terrible",100,"2916","NA","NA","NA"
804,"revista","nf","magazine, journal","publica una revista en la que colabora regularmente",98,"1502","NA","NA","NA"
1004,"ejercer","v","to practice, exercise","viene al pueblo con intenciones de ejercer su profesión",99,"1633","NA","NA","NA"
539,"hermano","nm","brother, [pl] siblings","éramos tres hermanos, dos hermanos mayores y yo",98,"3309","NA","NA","NA"
611,"lanzar","v","to throw, launch","giró para lanzar una mirada de reproche",100,"2580","NA","NA","NA"
778,"doctor","nm/f","doctor","su salud decayó y el doctor le recomendó una vida más tranquila",96,"2442","NA","NA","NA"
765,"periódico","nm","newspaper, periodical","su padre bajó el periódico que leía",100,"1863","NA","NA","NA"
1604,"efectivamente","adv","in fact, actually, indeed","veremos si efectivamente se justifica la ayuda",88,"1189","high","NA","NA"
831,"presidente","nm","president","el Presidente es la máxima autoridad del país",95,"3904","NA","NA","NA"
832,"arma","nf (el)","weapon","después de decir esto, sacó un arma y disparó",99,"2174","NA","NA","NA"
1369,"añadir","v","to add","hay que añadir los ingredientes según la receta",90,"1607","NA","NA","NA"
229,"necesitar","v","to need","vas a necesitar un trabajo nuevo",100,"5415","NA","NA","NA"
1034,"constante","adj","constant","hay un constante movimiento, el yin y el yang",99,"1406","NA","NA","NA"
1984,"sospechar","v","to suspect, suppose","pensó o sospechó que el ladrón era también un hombre",92,"699","NA","NA","NA"
2561,"juvenil","adj","young, juvenile","su mente juvenil no estaba preparada para asimilar tantos axiomas",83,"433","NA","NA","NA"
1402,"relacionado","adj","related, regarding","es un lugar relacionado con nuestra historia",94,"1182","NA","NA","NA"
2626,"rumor","nm","rumor, murmur","más rumores no confirmados e información caótica",80,"742","NA","NA","NA"
598,"plan","nm","plan","nos explicó que tenía preparado un plan infalible",99,"2611","NA","NA","NA"
2250,"orientar","v","guide, show the way","tuve que orientar a un joven sobre un lugar específico",89,"440","NA","NA","NA"
854,"particular","adj","particular, peculiar","una forma particular de vestirse y de caminar",99,"1410","NA","NA","NA"
185,"alto","adj","tall, high","desde lo alto de los Alpes",100,"7742","NA","NA","NA"
1832,"severo","adj","severe","era un hombre fuerte, de carácter firme y severo",94,"700","NA","NA","NA"
446,"evitar","v","to avoid, prevent","actuó rápido para evitar su segura humillación",100,"3110","NA","NA","NA"
2464,"variado","adj","varied, mixed","hay muchas personas en muy variadas actividades",86,"511","NA","NA","NA"
1693,"frecuente","adj","frequent","es muy frecuente ahora el divorcio por cosas sin importancia",96,"694","NA","NA","NA"
2556,"librar","v","to liberate, set free","les asignaba la sagrada misión de librar al pueblo",84,"435","NA","NA","NA"
1424,"operar","v","to operate","la economía china operó bajo un tipo de sistema feudal",95,"875","NA","NA","NA"
2063,"imitar","v","to imitate, copy, mimic","Goethe se propuso imitar la libertad estilística de Shakespeare",90,"539","NA","NA","NA"
930,"labor","nf","labor, work, task","se habla mucho de su labor en el terreno del psicoanálisis",99,"1215","NA","NA","NA"
452,"proceso","nm","process, procedure","el proceso de gestación de la criatura no fue normal",100,"6038","NA","NA","NA"
682,"información","nf","information","trató de obtener información más precisa",98,"3111","NA","NA","NA"
2349,"junio","nm","June","bueno, el mes de junio estuve un poco fastidiado",83,"1101","NA","low","NA"
2238,"núcleo","nm","nucleus, core","la iglesia se convirtió en núcleo espiritual de sus vidas",87,"1170","NA","low","NA"
2171,"conferencia","nf","conference, lecture","lo anunciamos en una gran conferencia de prensa, ¿eh?",86,"657","high","NA","NA"
1263,"interior","adj","interior, inside","que sirve de pórtico de entrada al extenso espacio interior",97,"1259","NA","NA","NA"
1060,"fe","nf","faith","le hubiera abrumado sin la fe y la esperanza en Dios",97,"1278","NA","NA","NA"
1262,"poeta","nc","poet","muchos vieron en Whitman al «poeta de América»",91,"1698","NA","NA","NA"
1970,"conveniente","adj","convenient","en el momento oportuno y en el lugar conveniente",92,"580","high","NA","NA"
528,"desaparecer","v","to disappear, vanish","se hizo desaparecer en la oscuridad",100,"2509","NA","NA","NA"
1249,"gasto","nm","expense, expenditure","me daría también una suma mensual para mis gastos menores",96,"1439","NA","NA","NA"
1497,"defecto","nm","defect","el Telescopio Espacial Hubble (HST) tiene un defecto de fabricación",96,"608","NA","NA","NA"
1219,"trasladar","v","to move, transfer","debido a su salud, se traslada a vivir en Viña",97,"975","NA","NA","NA"
2497,"roca","nf","rock","se trata de una roca de basalto olivino, de unas 25 toneladas",77,"832","NA","NA","NA"
231,"cinco","num","five","gozo de tener los cinco sentidos",100,"5384","high","NA","NA"
1711,"exigencia","nf","requirement, demand","el gobierno abolió la exigencia del visado para entrar en el país",95,"665","NA","NA","NA"
696,"conciencia","nf","conscience, consciousness","se dormía en paz con su conciencia y con Dios",99,"2216","NA","NA","NA"
2399,"académico","adj","academic","obtuvo su título académico en la Escuela de Bellas Artes",84,"646","NA","NA","NA"
1025,"unidad","nf","unit, unity","las hermanas no quieren romper la unidad de la familia",96,"2361","NA","NA","NA"
2022,"influir","v","to (have) influence","impotente para poder influir de una manera positiva",89,"893","high","low","NA"
811,"sala","nf","room, hall","me conduce hasta la puerta de la sala que da acceso a la galería",97,"1834","NA","NA","NA"
1639,"armado","adj","armed","el conflicto armado de 1994 trajo para nosotros dos impactos",93,"823","NA","NA","NA"
2563,"suceso","nm","event, incident","el suceso le había ocurrido poco antes de caer enfermo",84,"638","NA","NA","NA"
1082,"moral","adj","moral","tengo la convicción de que la música posee un gran poder moral",98,"1409","NA","NA","NA"
1680,"abogado","nm/f","lawyer","porque si soy abogado, naturalmente tengo que conocer las leyes",88,"1228","high","NA","NA"
1658,"red","nf","network, net, system","se hace pública y pasa a ser difundida por toda la red",91,"1212","NA","NA","NA"
1258,"caja","nf","bank, box, safe","¿para qué queremos nosotros el dinero en la Caja de Ahorros?",94,"1161","NA","NA","NA"
495,"figura","nf","figure","descubrió en el ruidoso grupo la figura de su padre",100,"3004","NA","NA","NA"
1103,"intelectual","adj","intellectual","importantes en el desarrollo del pensamiento intelectual",97,"1496","NA","NA","NA"
2282,"necesariamente","adv","necessarily","no implica necesariamente un deterioro mental, al menos severo",89,"597","high","low","NA"
142,"mirar","v","to look, watch","y los ojos mirando al infinito",100,"15461","high","NA","NA"
858,"unido","adj","united","tenemos un candidato fuerte, tenemos un Partido unido",100,"2001","NA","NA","NA"
1684,"íntimo","adj","close, intimate","ese hombre era tu íntimo amigo",90,"827","NA","NA","NA"
1385,"fotografía","nf","photograph","me gustó mucho el paisaje, y entonces decidí sacar la fotografía",96,"1187","NA","NA","NA"
982,"vía","nf","por vía: by means; road, way","esa información que ha venido a esta Cámara por vía periodística",98,"1741","NA","NA","NA"
788,"jamás","adv","never","¡Jamás he visto cosa más grandiosa y sensacional!",97,"2487","NA","NA","NA"
172,"contra","prep","against, opposite","hermanos contra hermanos y padres contra hijos",100,"9607","NA","NA","NA"
1050,"región","nf","region","existen en la región comprendida entre 0 y 25 grados de latitud",98,"2880","NA","NA","NA"
1073,"colegio","nm","(high) school, college","no no, yo tengo una educación del colegio religioso",92,"2137","high","NA","NA"
1911,"complicar","v","to complicate, make difficult","el trabajo se complicaba por las inadecuadas herramientas que disponía",94,"340","NA","NA","NA"
1905,"tragedia","nf","tragedy","evitemos una tragedia humana de enormes proporciones",91,"716","NA","NA","NA"
2296,"comodidad","nf","comfort, convenience","ni el dinero ni las comodidades dan la felicidad a una persona",88,"347","NA","NA","NA"
1089,"máximo","adj","maximum","esto sería lo máximo que se podría lograr",98,"1468","NA","NA","NA"
132,"luego","adv","later, afterwards","luego va con su esposa y la contagia",100,"11115","NA","NA","NA"
2488,"viuda","nf","widow","ella es la viuda del hombre desaparecido",82,"537","NA","NA","NA"
1015,"dividir","v","to divide","voy a dividir el cuadro en diez partes iguales",100,"1529","NA","NA","NA"
1747,"relativo","adj","relative","no de forma absoluta, sino como un índice relativo",91,"1404","NA","low","NA"
2596,"gravedad","nf","seriousness, gravity","con mucha cautela, por la extrema gravedad de las circunstancias",86,"612","NA","NA","NA"
800,"texto","nm","text","es un libro de texto en ciencias",98,"2065","NA","NA","NA"
809,"frase","nf","phrase","bastaría una sola palabra o una frase para decirlo",97,"1589","NA","NA","NA"
2249,"rigor","nm","harshness, rigor","se les aplica el rigor de la ley",89,"483","NA","NA","NA"
1883,"chocar","v","to crash into, collide with","oigo el ruido de la bola al chocar contra la pared",94,"440","NA","NA","NA"
264,"cuyo","adj","whose","el oxígeno, cuyo número atómico es 8",100,"6789","NA","NA","NA"
2394,"luna","nf","moon","las distancias de la Tierra al Sol y de la Tierra a la Luna",83,"1165","NA","NA","NA"
2071,"bailar","v","to dance","aprendían a bailar el charlestón con el profesor",82,"1175","NA","NA","NA"
1008,"rápidamente","adv","rapidly, quickly","el bombero baja rápidamente por la escalera",100,"1175","NA","NA","NA"
1325,"similar","adj","similar","algo similar le ocurría al resto de la familia",95,"1727","NA","NA","NA"
1511,"paciente","nc","patient","no todos los pacientes experimentan dolor torácico",91,"2009","NA","NA","NA"
1617,"alrededor","nm","surrounding area, vicinity","entró y dio una mirada a su alrededor",95,"837","NA","NA","NA"
1968,"palacio","nm","palace","la familia que vivió en aquel palacio tenía que ser riquísima",87,"792","NA","NA","NA"
1439,"integrar","v","to integrate, fit in","el teólogo buscaba integrar la religión y la ciencia",92,"1488","NA","NA","NA"
2167,"apellido","nm","last name","¿Qué ha pasado con su apellido, Pérez, que antes utilizaba?",87,"601","NA","NA","NA"
1123,"elevar","v","to elevate, raise","trataban de elevar su voz sobre los demás",99,"972","NA","NA","NA"
2485,"tumba","nf","tomb, grave","la viuda se sentó al borde de la tumba",84,"675","NA","NA","NA"
2429,"club","nm","club, society","vamos al club, cada cual está con su grupo de amigos",78,"809","high","NA","NA"
1250,"café","nm","coffee, café","¿qué tomas tú? // Café, café negro doble",92,"1593","NA","NA","NA"
1719,"tela","nf","cloth, fabric","no había tela para los uniformes porque se acabó el algodón",93,"783","NA","NA","NA"
450,"miedo","nm","fear","yo no tengo miedo de morir",100,"3458","NA","NA","NA"
1338,"bello","adj","beautiful, fine","se hospedaba en esa bella mansión de una familia inglesa",91,"1516","NA","NA","NA"
1467,"griego","adj","Greek","un gran poeta griego de la antigüedad",93,"1528","NA","NA","NA"
691,"cubrir","v","to cover","se cubre el rostro con un pañuelo",100,"1990","NA","NA","NA"
721,"conjunto","nm","group, set","para mí fue el conjunto de cosas el que no me gustó",99,"2383","NA","NA","NA"
2091,"evidencia","nf","evidence, certainty","no existe ninguna evidencia de la realidad material de ese mundo",88,"730","NA","NA","NA"
1326,"consumir","v","to consume, take in","no debía consumir más sal de lo conveniente",96,"853","NA","NA","NA"
1051,"evidente","adj","evident, obvious","es evidente que no va a ayudarme",97,"1295","NA","NA","NA"
511,"supuesto","adj","supposed; por supuesto: of course","no entendí, por supuesto, nada, ni una palabra",99,"2960","high","NA","NA"
761,"jefe","nm/f","leader, boss, manager","es el jefe de una nueva tribu de guerreros",99,"2232","NA","NA","NA"
1796,"sexual","adj","sexual","cuyo primer mandamiento era la abstinencia sexual",87,"1190","NA","NA","NA"
57,"querer","v","to want, love","quiero que este proceso salga con limpieza",100,"28696","high","NA","NA"
1238,"rey","nm","king","como nuestro amigo y admirado Rey Juan Carlos y la Reina Sofía",92,"1833","NA","NA","NA"
336,"solamente","adv","only","la opinión es solamente una hipótesis",100,"3666","high","NA","NA"
988,"fiesta","nf","party, feast","¿le gustaría celebrar su fiesta de cumpleaños?",93,"1813","NA","NA","NA"
1110,"escaso","adj","scarce, very little","el gobierno ha ofrecido el escaso incremento del 2%",96,"1338","NA","NA","NA"
1521,"reaccionar","v","to react","el agua reacciona con los minerales",97,"642","NA","NA","NA"
1727,"búsqueda","nf","search","no es búsqueda porque ya se ha encontrado",90,"923","NA","NA","NA"
2314,"socio","nm","member, partner","se ha hecho socio del Club de Solteros",87,"462","NA","NA","NA"
1001,"parar","v","to stop (moving)","me parece que se le paró el reloj",95,"1510","high","NA","NA"
